#GPU,GPU type,Calc type,Topology,Time,Performance
1,GH200,RIHF Gradient, 1, 0.048074, 0.1756
1,GH200,RIHF Gradient, 2, 0.069537, 1.133
1,GH200,RIHF Gradient, 3, 0.094179, 3.478
1,GH200,RIHF Gradient, 4, 0.152546, 6.373
1,GH200,RIHF Gradient, 5, 0.207808, 10.73
1,GH200,RIHF Gradient, 6, 0.322863, 13.72
1,GH200,RIHF Gradient, 7, 0.47137, 16.89
1,GH200,RIHF Gradient, 8, 0.662833, 20.02
1,GH200,RIHF Gradient, 9, 0.937205, 22.27
1,GH200,RIHF Gradient, 10, 1.43192, 21.9
1,GH200,RIHF Gradient, 11, 1.923975, 23.58
1,GH200,RIHF + RIMP2 Energy, 1, 0.032464, 0.3434
1,GH200,RIHF + RIMP2 Energy, 2, 0.052895, 2.252
1,GH200,RIHF + RIMP2 Energy, 3, 0.079913, 6.978
1,GH200,RIHF + RIMP2 Energy, 4, 0.148795, 12.14
1,GH200,RIHF + RIMP2 Energy, 5, 0.239319, 19.0
1,GH200,RIHF + RIMP2 Energy, 6, 0.399691, 24.64
1,GH200,RIHF + RIMP2 Energy, 7, 0.795104, 24.08
1,GH200,RIHF + RIMP2 Energy, 8, 0.977362, 33.62
1,GH200,RIHF + RIMP2 Energy, 9, 1.785393, 28.23
1,GH200,RIHF + RIMP2 Energy, 10, 2.271425, 34.33
1,GH200,RIHF + RIMP2 Energy, 11, 3.72506, 30.44
1,GH200,RIHF + RIMP2 Gradient, 1, 0.055913, 0.4821
1,GH200,RIHF + RIMP2 Gradient, 2, 0.095726, 3.081
1,GH200,RIHF + RIMP2 Gradient, 3, 0.164444, 8.499
1,GH200,RIHF + RIMP2 Gradient, 4, 0.341539, 13.27
1,GH200,RIMP2 Energy, 1, 0.120773, 0.02906
1,GH200,RIMP2 Energy, 2, 0.179687, 0.26339999999999997
1,GH200,RIMP2 Energy, 3, 0.295534, 0.8739
1,GH200,RIMP2 Energy, 4, 0.52501, 1.74
1,GH200,RIMP2 Energy, 5, 0.789845, 3.165
1,GH200,RIMP2 Energy, 6, 1.092426, 5.285
1,GH200,RIMP2 Energy, 7, 1.685727, 7.014
1,GH200,RIMP2 Energy, 8, 2.086261, 10.45
1,GH200,RIMP2 Energy, 9, 3.040347, 10.65
1,GH200,RIMP2 Energy, 10, 3.445851, 14.46
1,GH200,RIMP2 Energy, 11, 5.219823, 14.77
1,GH200,RIMP2 Energy, 12, 5.396083, 20.06
1,GH200,RIMP2 Energy, 13, 7.733342, 19.93
1,GH200,RIMP2 Energy, 14, 8.499438, 25.04
1,GH200,RIMP2 Energy, 15, 11.592923, 24.89
1,GH200,RIMP2 Gradient, 1, 0.336167, 0.03447
1,GH200,RIMP2 Gradient, 2, 0.551476, 0.2693
1,GH200,RIMP2 Gradient, 3, 0.974201, 0.8074
1,GH200,RIMP2 Gradient, 4, 1.748026, 1.561
1,GH200,RIMP2 Gradient, 5, 2.689241, 2.74
1,GH200,RIMP2 Gradient, 6, 3.824112, 4.408
1,GH200,RIMP2 Gradient, 7, 5.840063, 5.763
1,GH200,RIMP2 Gradient, 8, 7.821572, 7.921
1,GH200,RIMP2 Gradient, 9, 10.970396, 9.531
1,GH200,RIMP2 Gradient, 10, 13.685842, 12.45
1,GH200,RIMP2 Gradient, 11, 18.90178, 14.09
1,GH200,RIMP2 Gradient, 12, 23.284718, 17.41
1,GH200,RIMP2 Gradient, 13, 30.459295, 19.46
1,GH200,RIMP2 Gradient, 14, 39.225584, 21.5
1,GH200,RIMP2 Gradient, 15, 50.3758, 23.46
1,MI250,HF Energy, 1, 0.674612, 0.0001752
1,MI250,HF Energy, 2, 0.96206, 0.000734
1,MI250,HF Energy, 3, 1.11264, 0.001841
1,MI250,HF Energy, 4, 1.530243, 0.002933
1,MI250,HF Energy, 5, 1.932463, 0.004323
1,MI250,HF Energy, 6, 2.635489, 0.005302
1,MI250,HF Energy, 7, 3.358797, 0.006454
1,MI250,HF Energy, 8, 4.241529, 0.007494
1,MI250,HF Energy, 9, 5.561194, 0.008027
1,MI250,HF Energy, 10, 6.245181, 0.009696
1,MI250,HF Energy, 11, 7.242349, 0.01103
